Date,Close/Last,Volume,Open,High,Low,Company
12/17/2021,"142,80",43404700,"142,71"," 144,46"," 141,79",Google
12/16/2021,"144,84",27399740,"148,08"," 148,55"," 144,09",Google
12/15/2021,"147,37",27280960,"144,37"," 147,52"," 142,71",Google
12/14/2021,"144,97",24778800,"144,77"," 145,44"," 142,24",Google
12/13/2021,"146,70",24103920,"148,44"," 148,56"," 146,36",Google
12/10/2021,"148,68",21638460,"149,10"," 149,40"," 147,36",Google
12/09/2021,"148,11",18580600,"148,18"," 149,60"," 147,53",Google
12/08/2021,"148,72",18963940,"148,33"," 149,16"," 147,20",Google
12/07/2021,"148,04",23258280,"145,95"," 148,30"," 145,70",Google
12/06/2021,"143,80",22197700,"143,57"," 144,35"," 140,65",Google
12/03/2021,"142,52",26687480,"144,50"," 145,21"," 141,15",Google
12/02/2021,"143,78",21250700,"141,82"," 144,68"," 140,98",Google
12/01/2021,"141,62",28545780,"144,21"," 146,50"," 141,50",Google
11/30/2021,"142,45",41590520,"145,45"," 146,63"," 142,07",Google
11/29/2021,"146,11",26276120,"144,30"," 146,86"," 144,30",Google
11/26/2021,"142,81",16992120,"145,02"," 145,30"," 142,49",Google
11/24/2021,"146,72",16464060,"146,35"," 147,00"," 145,20",Google
11/23/2021,"146,76",18133140,"147,11"," 147,69"," 144,89",Google
11/22/2021,"147,08",24627700,"150,14"," 150,74"," 147,01",Google
11/19/2021,"149,95",19782960,"151,00"," 151,85"," 149,89",Google
11/18/2021,"150,71",26682400,"149,15"," 151,61"," 149,00",Google
11/17/2021,"149,06",15290820,"149,23"," 149,63"," 148,56",Google
11/16/2021,"149,08",17254860,"149,17"," 149,83"," 148,35",Google
11/15/2021,"149,39",16247340,"150,00"," 150,48"," 148,65",Google
11/12/2021,"149,65",17047660,"147,83"," 149,86"," 146,45",Google
11/11/2021,"146,75",12463100,"147,11"," 148,50"," 146,69",Google
11/10/2021,"146,63",22708320,"148,01"," 148,70"," 145,32",Google
11/09/2021,"149,25",16875560,"149,75"," 150,38"," 147,51",Google
11/08/2021,"149,35",18388140,"150,00"," 151,03"," 149,12",Google
11/05/2021,"149,24",20408140,"149,35"," 150,57"," 148,65",Google
11/04/2021,"148,68",24700800,"147,20"," 149,95"," 146,63",Google
11/03/2021,"146,79",17886600,"146,28"," 146,91"," 145,05",Google
